client,centrality,shared_identifiers,prediction
Kayden Bean,1.9,2,0
Kaylee Owens,1.1,2,0
Kaylee Payne,0.9,2,0
Kennedy Keith,2.8000000000000003,3,1
Kennedy Malone,0.6000000000000001,1,0
Kevin Koch,0.5,2,0
Kevin Leonard,1.7,3,0
Khloe Lowery,2.4,3,1
Kylie Glenn,0.8,1,0
Kylie Mccall,1.1,2,0
Kylie Morin,1.7000000000000002,2,0
Kylie Stein,0.9,2,0
Landon Langley,1.9,2,0
Landon Neal,2.6,3,1
Landon Sanford,1.1,2,0
Landon Welch,2.9,2,1
Lauren Carver,2.4,3,1
Lauren Clements,0.7,2,0
Lauren Drake,0.9,2,0
Lauren Hayden,2.4,2,1
Lauren Soto,2.4,2,1
Lauren Stanley,2.3,3,1
Lauren Vazquez,0.8,1,0
Levi Haynes,0.6000000000000001,1,0
Levi Hull,1.2,2,0
Liam Michael,0.4,1,0
Liam Ross,1.6,2,0
Liam Velasquez,0.9,2,0
Lillian Nolan,1.2,2,0
Lillian Whitehead,2.2,2,0
Lily Burks,2.2,3,0
Lily Hunter,1.3,2,0
Lily Nicholson,0.2,1,0
Logan Little,2.0,3,0
London Cabrera,2.0,2,0
London Fowler,1.6,3,0
London Perry,0.8,1,0
London Wiggins,1.3,2,0
Lucas Harding,0.9,2,0
Lucas Hawkins,1.7000000000000002,2,0
Lucas Roberson,1.6,2,0
Lucy Cortez,0.4,1,0
Lucy Hoffman,0.2,1,0
Luis Hensley,1.3,2,0
Luis Travis,1.1,2,0
Luke Deleon,0.9,2,0
Mackenzie Keith,1.2,2,0
Madeline Compton,1.1,2,0
Madeline Grimes,2.3,3,1
Madeline Ramos,2.9,3,1
Madison Barrera,0.4,1,0
Madison Ferrell,2.3,3,1
Madison Wood,0.7,2,0
Makayla White,0.8,1,0
Mason Saunders,1.7,3,0
Matthew Riddle,2.4,3,1
Maya Hanson,1.5,2,0
Maya Sears,2.5,2,1
Melanie Chavez,0.4,1,0
Mia Huff,1.6,2,0
Mia Montgomery,2.0,3,0
Michael Norris,0.8,1,0
Molly Santos,0.9,2,0
Molly Williamson,1.9,3,0
Morgan Campbell,0.9,2,0
Morgan Cline,1.8,2,0
Morgan Montoya,2.0,2,0
Naomi Sweeney,1.4,2,0
Natalie Delacruz,2.2,2,0
Natalie Warren,1.7000000000000002,2,0
Nathan Sosa,1.3,2,0
Nathan Spears,1.5,2,0
Nathan Stephenson,1.6,2,0
Nathaniel Gilmore,1.6,2,0
Nathaniel Myers,2.6,3,1
Nevaeh Weeks,1.0,1,0
Nicholas Carter,1.5,3,0
Noah Greer,1.4,2,0
Oliver Battle,1.3,2,0
Oliver Gentry,1.2000000000000002,1,0
Oliver Keith,1.4,2,0
Olivia Campbell,0.9,2,0
Olivia Randall,2.1,2,0
Olivia Turner,0.4,1,0
Owen Potts,0.6000000000000001,1,0
Parker Lambert,1.3,2,0
Parker Nicholson,1.5,2,0
Piper Horn,1.2,2,0
Reagan Avery,1.0,1,0
Reagan Beck,1.1,2,0
Reagan Mcclain,0.7,2,0
Reagan Pearson,1.6,2,0
Riley Berg,2.5,2,1
Riley Buck,0.6000000000000001,1,0
Riley Shaffer,1.2,2,0
Robert Clayton,2.3,3,1
Robert Hicks,2.6,3,1
Ryan Cochran,0.7,2,0
Ryan Contreras,0.9,2,0
Ryan Higgins,1.1,2,0
Ryan Mcleod,1.6,2,0
Ryan Patel,3.1,3,1
Ryder Mcconnell,1.2,2,0
Samantha Huber,1.2,2,0
Samantha Medina,1.1,2,0
Samantha Mueller,2.9,3,1
Samuel Carney,1.6,2,0
Sarah Bartlett,0.9,2,0
Sarah Klein,2.9,3,1
Savannah Adams,1.3,2,0
Savannah Brewer,0.9,2,0
Scarlett Shannon,2.0,3,0
Scarlett Solomon,3.2,3,1
Serenity Espinoza,1.2,2,0
Serenity Shaw,1.3,2,0
Serenity Woodard,1.4,2,0
Skylar Goodwin,1.9,2,0
Skylar Harrell,1.1,2,0
Sofia Cantu,1.3,2,0
Sofia Donaldson,1.0,1,0
Sofia Velazquez,0.2,1,0
Sophia Andrews,1.4,2,0
Sophie Bean,1.6,2,0
Sophie Roach,1.1,2,0
Sydney Jacobson,1.4,2,0
Sydney Mcmahon,1.8,2,0
Taylor Morrison,0.2,1,0
Thomas Nicholson,0.2,1,0
Tristan Brennan,0.9,2,0
Tristan Frost,0.8,1,0
Tristan Griffith,0.9,2,0
Tyler Tillman,0.7,2,0
Victoria Sims,1.4,2,0
Victoria Welch,0.2,1,0
Violet Page,0.9,2,0
William Morin,0.7,2,0
Xavier Hatfield,1.9,2,0
Xavier Morrison,0.2,1,0
Xavier Reese,0.4,1,0
Xavier Welch,2.2,2,0
Zoe Hickman,0.5,2,0
Zoe Miranda,2.3,3,1
